metric,n,k,f_stat,p_value,eta_sq
p01,225,10,223.047,<0.001,0.903
p05,225,10,18.022,<0.001,0.430
p10,225,10,11.656,<0.001,0.328
pi,225,10,8.194,<0.001,0.255
pop_mean_pct,225,10,7.839,<0.001,0.247
genre_js,225,10,2.212,0.022,0.085
genre_entropy,225,10,1.856,0.060,0.072
redundancy_new,225,10,3.961,<0.001,0.142
redundancy_repeated,225,10,2.901,0.003,0.108
